country_code_1,cohesion,cohesion_sqrt,cohesion_users,cohesion_users_sqrt,pop_share_prod,users_share_prod,cohesion_norm,cohesion_sqrt_norm,cohesion_users_norm,cohesion_users_sqrt_norm,cohesion_rank,cohesion_sqrt_rank,cohesion_users_rank,cohesion_users_sqrt_rank,cohesion_norm_rank,cohesion_sqrt_norm_rank,cohesion_users_norm_rank,cohesion_users_sqrt_norm_rank
SA,0.01658471486159038,0.12450965857504097,0.014989095303467507,0.12281600890880044,0.4869594487461728,0.5121527181553202,0.03405769187617745,0.2556879405372038,0.029266847118288215,0.2398034893794201,1,2,5,7,1,1,1,2
LY,0.019984594594375547,0.1403908081927565,0.01491334460347247,0.12123658342709098,0.5286352475872181,0.5078540523742933,0.03780412805538159,0.2655721668835444,0.029365414204632935,0.238723276619123,2,3,4,6,2,2,2,1
TN,0.020739684642311157,0.149227321787382,0.021026996624613107,0.1475113398784499,0.5454456478220943,0.5195398305847728,0.038023375427272146,0.27358788613169915,0.04047234761759455,0.2839269122300347,3,5,12,16,3,3,10,10
AF,0.020861971398235445,0.14779593466923907,0.015067233098199047,0.11032055646172143,0.5390294425842099,0.4128696825161675,0.038702842090070584,0.27418898300003275,0.03649391984021261,0.267204304732163,4,4,6,4,5,4,5,6
DZ,0.021072318775029412,0.15215856366710823,0.018769824801419466,0.13401430101882927,0.5504934475024448,0.4785908046585171,0.03827896384713249,0.27640395059640105,0.039218941564938894,0.28001854551812966,5,6,11,12,4,5,7,8
JO,0.02207307546440635,0.15328811906445214,0.017794523933941472,0.13202350804809254,0.549177471831531,0.4976847930554837,0.04019297330386055,0.2791231012321564,0.035754606494391473,0.26527535076478437,6,7,7,11,6,6,3,5
KW,0.022127381192377678,0.1196399420073719,0.018586003485809896,0.12994432873387943,0.39475611602542376,0.49857710301431957,0.05605329542494686,0.303073054857158,0.037278092743212254,0.2606303577686505,7,1,10,8,19,11,6,3
IQ,0.02313349532691491,0.1585188397433694,0.01850131716795546,0.13094249851655734,0.5483923447560873,0.46495404511026583,0.042184205429060415,0.28906100032062815,0.039791711379923135,0.28162460332075134,8,9,9,10,7,7,9,9
KE,0.023424870352089604,0.15834801372772025,0.023034843905230872,0.15534169778772133,0.5356665542910422,0.5244333379610348,0.04373032097009036,0.29560929734971936,0.043923302044048075,0.29620866284298497,9,8,17,21,8,8,12,12
UG,0.024069358724507047,0.15926669279927738,0.021071734089125226,0.13889114511982628,0.5286243991925428,0.459349679768582,0.04553206163255468,0.3012851715557441,0.04587297002088051,0.30236473701211447,10,10,13,13,10,10,14,15
MM,0.024614417423557203,0.16158573398545106,0.014506054826414911,0.10276632241077144,0.5462170446789852,0.36946310863509096,0.04506343707751418,0.2958269712736919,0.03926252577694343,0.27815042966108705,11,11,3,3,9,9,8,7
BD,0.025827976100223023,0.16893648535513991,0.018037933228826287,0.11802875796363116,0.5534653820695383,0.3863281191506212,0.04666592877705575,0.3052340594879599,0.04669070754798896,0.3055142820645013,12,12,8,5,12,15,16,16
EG,0.02637803954390698,0.16982361478228034,0.02286806796626374,0.15040511831104514,0.5590514555744955,0.498187940909374,0.04718356294556149,0.30377099118320916,0.04590249198830708,0.3019043737520044,13,14,16,19,13,13,15,14
PK,0.026426328780557857,0.17051742306751372,0.013196452465840372,0.08872036694111704,0.5591276602022792,0.30122249135719614,0.047263497518612176,0.3049704659680484,0.04380965181710729,0.2945343375302959,14,15,2,1,14,14,11,11
NP,0.026615890482436823,0.17342777129588813,0.0224582908530143,0.14966992970646792,0.5717481330626442,0.502717077118742,0.0465517750619758,0.30332896824148675,0.04467381729248406,0.29772199218749795,15,16,14,18,11,12,13,13
VN,0.02897208105693593,0.17632350354028914,0.0261861689133983,0.16015200634487092,0.5431458626413426,0.49098541482967084,0.05334125333486553,0.32463379667999326,0.053333903864502,0.3261848550031363,16,17,21,22,16,17,19,19
KH,0.029097977045324082,0.1695058393138931,0.01305817060571899,0.09507396197455305,0.5507400136631332,0.3602807013046399,0.05283432531401688,0.30777832572298514,0.036244435403931026,0.26388857807335636,17,13,1,2,15,16,4,4
MG,0.029305133175243452,0.17882044722645732,0.023460492883647606,0.14305882689147664,0.5458876880180756,0.4364360457862062,0.05368344774662346,0.32757735913717134,0.05375470956205123,0.32778875226441734,18,19,18,15,17,18,20,20
ID,0.029648688632644922,0.17792826391149705,0.02773595487701196,0.1625933758598874,0.5377534130184392,0.4772573229170485,0.05513435696525889,0.3308733326540431,0.05811530498366541,0.3406828309434815,19,18,22,24,18,19,21,23
GT,0.03210397583522578,0.1875886832585853,0.02258479988194526,0.14147082564354607,0.5644488640639709,0.4500532737846688,0.056876677196372794,0.3323395531491853,0.05018250326682685,0.31434239874285147,20,20,15,14,20,20,18,18
IN,0.03230460041819032,0.1886305282484033,0.028219898954074035,0.1608021278934824,0.5570386911597989,0.45875110919063383,0.05799345885818016,0.33863092679551493,0.061514617379044345,0.35052150212166816,21,21,24,23,21,21,22,25
TZ,0.034157645085792346,0.19257625404719556,0.03138213602518489,0.17692437689387008,0.542955972286461,0.49880748084037063,0.06291052466362951,0.35468115994052135,0.06291432512662708,0.3546947142729196,22,22,25,26,22,22,23,26
GH,0.03617736194525032,0.19798707738152177,0.03392711543907155,0.18513087964911323,0.5438471867815483,0.5067328560337278,0.06652118982051844,0.36404909723482476,0.06695266556154272,0.3653421668730142,23,23,27,27,23,23,26,27
LK,0.04170851933060267,0.21013733850876148,0.024299487134724067,0.15477252879066125,0.5628791762451252,0.5043178823643584,0.07409852965041872,0.3733258350585169,0.04818287826876667,0.30689478640942097,24,25,19,20,24,24,17,17
UA,0.0427953379610686,0.2154176879660759,0.036822747682834785,0.1891099820851242,0.5590477080134326,0.4885775622686321,0.07655042199017535,0.38532970420638935,0.07536725082472928,0.3870623554774438,25,27,28,28,26,27,30,31
PE,0.04312734266814962,0.21904393478998996,0.038778394472271445,0.19544791569631084,0.5690530707383197,0.49610292415060153,0.0757879095743986,0.38492707631959655,0.07816602681523305,0.3939664657912375,26,29,31,30,25,26,31,32
SL,0.04327773898820604,0.21109418082917253,0.03993734926154706,0.19594452820507155,0.5468123111705342,0.5096632656614549,0.07914550953610301,0.3860450405319032,0.07836026638042135,0.3844588013436075,27,26,32,32,27,28,32,30
BR,0.04481817673093282,0.22042603457380433,0.04309078509094559,0.2124708635625102,0.5576346128916898,0.5293228083457948,0.08037194193976249,0.3952875762692622,0.08140738394706645,0.4014013003265631,28,30,35,40,28,29,34,34
KR,0.045950179192382555,0.22106536222169365,0.04115295870338658,0.20336647833742724,0.5406416426323105,0.5042021576117356,0.08499193471049953,0.4088944409560398,0.08161995755495498,0.4033431338348834,29,31,33,34,29,31,35,35
SO,0.04938376975986769,0.20528837928069843,0.025662715828837612,0.1306296057786385,0.544805752454277,0.39821571998995525,0.09064472894678594,0.3768102270504703,0.06444425606674929,0.3280372903961038,30,24,20,9,31,25,25,21
VE,0.050194373257928644,0.2333568384753577,0.04758419336528858,0.22102237484435525,0.5593315733813962,0.5175013402117584,0.08973992466486812,0.41720662587419627,0.09194989397673331,0.4270952704275398,31,35,41,41,30,34,37,37
MA,0.05046077245249245,0.23166662761011092,0.04493795506493559,0.20582364534544328,0.5564219167300587,0.4762936261085917,0.09068796705391617,0.41635065162701196,0.09434926818586072,0.43213604814966994,32,34,37,38,32,33,38,40
AZ,0.050749830269409726,0.22376830362789585,0.037697643153864174,0.19424222716607803,0.530850380675133,0.5200463836155482,0.09560100570120404,0.42152800821826364,0.07248900163823215,0.37350942778533847,33,32,29,29,33,35,28,28
GN,0.05244279221805674,0.2174137384454275,0.0278134513094456,0.14965455431273275,0.5437163344493265,0.4413548754531261,0.09645248615009988,0.39986611523382526,0.06301833933722913,0.33907987117868993,34,28,23,17,34,30,24,22
AO,0.053585721445735715,0.23812563118337407,0.04477507932101665,0.20211822007653124,0.5382899846645611,0.46944926697530864,0.0995480558292906,0.4423742554522236,0.09537788739027185,0.43054326483198435,35,36,36,33,35,36,39,38
MZ,0.05703173979018138,0.2497138537784254,0.0466183838491471,0.20411023620017724,0.5467778032804207,0.44690863378120604,0.10430514817539521,0.4567007882914315,0.10431300790660078,0.45671580446598375,36,38,39,35,36,39,42,43
