country_code_1,cohesion,cohesion_sqrt,cohesion_users,cohesion_users_sqrt,pop_share_prod,users_share_prod,cohesion_norm,cohesion_sqrt_norm,cohesion_users_norm,cohesion_users_sqrt_norm,cohesion_rank,cohesion_sqrt_rank,cohesion_users_rank,cohesion_users_sqrt_rank,cohesion_norm_rank,cohesion_sqrt_norm_rank,cohesion_users_norm_rank,cohesion_users_sqrt_norm_rank
SA,0.00829235743079519,0.06225482928752048,0.0074945476517337545,0.061408004454400214,0.24347972437308638,0.2560763590776601,0.03405769187617746,0.2556879405372038,0.029266847118288218,0.23980348937942006,1,2,5,7,1,1,1,2
LY,0.009992297297187773,0.07019540409637826,0.007456672301736235,0.06061829171354549,0.26431762379360907,0.25392702618714663,0.03780412805538159,0.2655721668835444,0.029365414204632935,0.238723276619123,2,3,4,6,2,2,2,1
TN,0.010369842321155578,0.07461366089369101,0.010513498312306552,0.07375566993922494,0.27272282391104713,0.2597699152923864,0.038023375427272146,0.27358788613169915,0.040472347617594544,0.2839269122300347,3,5,12,16,3,3,10,10
AF,0.010430985699117722,0.07389796733461954,0.007533616549099524,0.05516027823086071,0.26951472129210496,0.20643484125808373,0.038702842090070584,0.27418898300003275,0.036493919840212614,0.26720430473216306,4,4,6,4,5,4,5,6
DZ,0.010536159387514704,0.07607928183355411,0.009384912400709733,0.06700715050941464,0.2752467237512224,0.23929540232925856,0.03827896384713249,0.27640395059640105,0.039218941564938894,0.28001854551812966,5,6,11,12,4,5,7,8
JO,0.011036537732203174,0.07664405953222608,0.008897261966970738,0.06601175402404627,0.2745887359157655,0.24884239652774182,0.04019297330386054,0.27912310123215645,0.03575460649439148,0.26527535076478437,6,7,7,11,6,6,3,5
KW,0.011063690596188839,0.05981997100368594,0.009293001742904948,0.0649721643669397,0.19737805801271188,0.24928855150715976,0.05605329542494686,0.30307305485715796,0.03727809274321226,0.26063035776865046,7,1,10,8,19,11,6,3
IQ,0.011566747663457456,0.07925941987168468,0.00925065858397773,0.06547124925827866,0.27419617237804367,0.23247702255513286,0.04218420542906042,0.2890610003206281,0.03979171137992314,0.28162460332075134,8,9,9,10,7,7,9,9
KE,0.011712435176044802,0.07917400686386013,0.011517421952615438,0.07767084889386065,0.2678332771455211,0.2622166689805174,0.04373032097009036,0.29560929734971936,0.04392330204404808,0.2962086628429849,9,8,17,21,8,8,12,12
UG,0.012034679362253522,0.07963334639963866,0.010535867044562613,0.06944557255991315,0.2643121995962714,0.229674839884291,0.045532061632554674,0.30128517155574397,0.04587297002088051,0.3023647370121145,10,10,13,13,10,10,14,15
MM,0.012307208711778601,0.08079286699272552,0.007253027413207456,0.05138316120538572,0.2731085223394926,0.18473155431754548,0.04506343707751418,0.2958269712736919,0.03926252577694343,0.27815042966108705,11,11,3,3,9,9,8,7
BD,0.012913988050111513,0.08446824267756999,0.009018966614413143,0.05901437898181557,0.27673269103476916,0.1931640595753106,0.046665928777055755,0.30523405948796,0.04669070754798896,0.30551428206450126,12,12,8,5,12,15,16,16
EG,0.013189019771953492,0.08491180739114015,0.011434033983131869,0.07520255915552258,0.27952572778724777,0.24909397045468698,0.047183562945561495,0.3037709911832091,0.04590249198830708,0.3019043737520045,13,14,16,19,13,13,15,14
PK,0.013213164390278927,0.08525871153375686,0.006598226232920186,0.04436018347055851,0.27956383010113955,0.15061124567859807,0.04726349751861218,0.30497046596804844,0.04380965181710729,0.29453433753029584,14,15,2,1,14,14,11,11
NP,0.013307945241218413,0.08671388564794405,0.011229145426507148,0.07483496485323397,0.2858740665313221,0.251358538559371,0.04655177506197581,0.3033289682414867,0.044673817292484055,0.297721992187498,15,16,14,18,11,12,13,13
VN,0.014486040528467966,0.08816175177014458,0.01309308445669915,0.08007600317243548,0.2715729313206713,0.24549270741483542,0.053341253334865536,0.3246337966799933,0.053333903864502,0.3261848550031364,16,17,21,22,16,17,19,19
KH,0.014548988522662041,0.08475291965694656,0.006529085302859497,0.04753698098727652,0.2753700068315666,0.18014035065231995,0.05283432531401688,0.3077783257229852,0.03624443540393103,0.2638885780733563,17,13,1,2,15,16,4,4
MG,0.014652566587621728,0.08941022361322865,0.0117302464418238,0.07152941344573834,0.2729438440090378,0.2182180228931031,0.05368344774662347,0.3275773591371713,0.05375470956205121,0.3277887522644174,18,19,18,15,17,18,20,20
ID,0.014824344316322463,0.08896413195574852,0.01386797743850598,0.0812966879299437,0.2688767065092196,0.23862866145852424,0.055134356965258896,0.3308733326540431,0.05811530498366541,0.3406828309434815,19,18,22,24,18,19,21,23
GT,0.01605198791761289,0.09379434162929264,0.011292399940972631,0.07073541282177304,0.2822244320319854,0.2250266368923344,0.0568766771963728,0.3323395531491853,0.050182503266826856,0.31434239874285147,20,20,15,14,20,20,18,18
IN,0.01615230020909516,0.09431526412420163,0.014109949477037014,0.08040106394674118,0.27851934557989944,0.22937555459531694,0.05799345885818016,0.3386309267955149,0.061514617379044324,0.3505215021216681,21,21,24,23,21,21,22,25
TZ,0.017078822542896176,0.09628812702359776,0.01569106801259244,0.08846218844693503,0.2714779861432305,0.24940374042018532,0.06291052466362952,0.3546811599405213,0.06291432512662706,0.35469471427291954,22,22,25,26,22,22,23,26
GH,0.01808868097262516,0.09899353869076088,0.01696355771953578,0.09256543982455663,0.27192359339077415,0.2533664280168639,0.06652118982051844,0.36404909723482476,0.06695266556154274,0.36534216687301424,23,23,27,27,23,23,26,27
LK,0.020854259665301335,0.10506866925438074,0.012149743567362033,0.07738626439533061,0.28143958812256253,0.2521589411821792,0.07409852965041873,0.373325835058517,0.04818287826876667,0.3068947864094209,24,25,19,20,24,24,17,17
UA,0.0213976689805343,0.10770884398303794,0.018411373841417392,0.0945549910425621,0.2795238540067163,0.24428878113431604,0.07655042199017535,0.3853297042063893,0.07536725082472928,0.3870623554774438,25,27,28,28,26,27,30,31
PE,0.021563671334074802,0.10952196739499495,0.01938919723613572,0.09772395784815541,0.2845265353691598,0.24805146207530074,0.07578790957439858,0.38492707631959655,0.07816602681523303,0.39396646579123745,26,29,31,30,25,26,31,32
SL,0.02163886949410302,0.10554709041458625,0.019968674630773526,0.09797226410253576,0.2734061555852671,0.25483163283072746,0.07914550953610301,0.38604504053190314,0.07836026638042133,0.38445880134360744,27,26,32,32,27,28,32,30
BR,0.022409088365466415,0.11021301728690219,0.021545392545472792,0.10623543178125508,0.2788173064458449,0.2646614041728974,0.08037194193976249,0.3952875762692623,0.08140738394706644,0.40140130032656307,28,30,35,40,28,29,34,34
KR,0.022975089596191278,0.11053268111084683,0.02057647935169329,0.10168323916871361,0.2703208213161553,0.2521010788058678,0.08499193471049951,0.4088944409560397,0.08161995755495498,0.40334313383488335,29,31,33,34,29,31,35,35
SO,0.02469188487993385,0.10264418964034921,0.012831357914418808,0.06531480288931925,0.2724028762271385,0.19910785999497765,0.09064472894678595,0.3768102270504703,0.06444425606674929,0.32803729039610374,30,24,20,9,31,25,25,21
VE,0.02509718662896432,0.11667841923767887,0.023792096682644287,0.11051118742217761,0.2796657866906981,0.2587506701058792,0.0897399246648681,0.4172066258741963,0.0919498939767333,0.42709527042753975,31,35,41,41,30,34,37,37
