country_code_1,cohesion_gender,cohesion_gender_sqrt,cohesion_gender_users,cohesion_gender_users_sqrt,pop_share_prod,users_share_prod,cohesion_gender_norm,cohesion_gender_sqrt_norm,cohesion_gender_users_norm,cohesion_gender_users_sqrt_norm,cohesion_gender_rank,cohesion_gender_sqrt_rank,cohesion_gender_users_rank,cohesion_gender_users_sqrt_rank,cohesion_gender_norm_rank,cohesion_gender_sqrt_norm_rank,cohesion_gender_users_norm_rank,cohesion_gender_users_sqrt_norm_rank
PG,0.031896852159648756,0.17855936108138365,0.030488305446568494,0.17067428201834473,0.4997898424303799,0.47771940939006935,0.06382052905385317,0.35726888768504084,0.06382052905385316,0.35726888768504084,1,1,3,5,1,1,1,1
IQ,0.0372605842058798,0.19301705260818147,0.029187832833425846,0.15119863484693152,0.4999328833882118,0.39161912619623024,0.07453117297136448,0.3860859307754284,0.07453117297136447,0.38608593077542847,2,2,2,3,2,2,2,2
AF,0.03907535902886769,0.19759865924433279,0.020952080654620585,0.10595175959032307,0.4996144770712472,0.26789166062631553,0.07821102234252386,0.3955022688747155,0.07821102234252386,0.39550226887471546,3,3,1,1,3,3,3,3
NP,0.04031806727069511,0.1999550314128357,0.03866212649885255,0.19174249268104382,0.49583248024848575,0.47546768412533236,0.08131388901850434,0.4032713454201881,0.08131388901850432,0.40327134542018817,4,4,5,6,5,5,5,5
VN,0.04034143465283266,0.20085125598263787,0.040283440111989324,0.20056251373862097,0.49999742667766617,0.49927863416489215,0.08068328455386153,0.40170457939600723,0.08068328455386153,0.40170457939600723,5,5,6,10,4,4,4,4
JO,0.04728790427311852,0.2174415518685225,0.0460774331248833,0.2118755042922935,0.49992518388966556,0.48712814793138914,0.09458996225234184,0.4349481859999921,0.09458996225234186,0.4349481859999921,6,6,9,16,6,6,6,6
EG,0.047682492713448155,0.21835078422944343,0.04435107937696716,0.20309535874268203,0.49994308456284137,0.46501376429002844,0.09537584214239613,0.43675128423943105,0.09537584214239614,0.4367512842394311,7,7,8,11,7,7,7,7
KH,0.0482532610244878,0.21960217782142416,0.046810563794230944,0.21303641528072126,0.499708366647374,0.48476786602229743,0.09656284394081072,0.439460678424841,0.09656284394081072,0.439460678424841,8,8,11,17,8,8,8,8
MZ,0.04883879757890432,0.22089393258313073,0.04618465877318084,0.20888947736552327,0.49954269833536086,0.4723951081715032,0.09776701319356906,0.44219229571210095,0.09776701319356906,0.44219229571210095,9,9,10,14,9,9,9,9
AL,0.0514523479835807,0.22678984182103662,0.04733115150679997,0.2086245775772984,0.4998181265665868,0.45978402155558334,0.10294214084835938,0.4537447318666287,0.1029421408483594,0.4537447318666287,10,10,12,13,10,10,10,10
KR,0.05177898758633524,0.22754956750567515,0.05071586312451416,0.22287752730618826,0.49999824335774107,0.48973229595011997,0.1035583390025796,0.4551007339097128,0.1035583390025796,0.4551007339097128,11,11,18,24,11,11,11,11
SO,0.05219630445076641,0.22846435285858394,0.04967436785836364,0.21742578187934636,0.4999967054786879,0.475838673585512,0.1043932967534148,0.45693171645972397,0.10439329675341481,0.456931716459724,12,12,15,18,12,12,12,12
BR,0.05273574722543422,0.22961246637112726,0.05234267494475423,0.227901022036353,0.49986856626546955,0.49614273534963416,0.1054992267655962,0.459345679778522,0.1054992267655962,0.4593456797785219,13,13,21,26,13,13,13,13
LY,0.0529836440006309,0.230168561770363,0.05048148132390563,0.21929880761358056,0.499942650479142,0.4763327636144876,0.10597944374190059,0.46038992982449256,0.10597944374190062,0.46038992982449256,14,14,17,20,14,14,14,14
VE,0.05340202230847388,0.2310770329583155,0.05269651681103743,0.22802422503014969,0.49994918593509324,0.49334425069352805,0.10681490001547254,0.4622010385437761,0.10681490001547256,0.4622010385437761,15,15,22,27,15,15,15,15
SL,0.05460169952633484,0.23366918335502845,0.05161123107780871,0.22087140734662686,0.49999622469142435,0.47261204164780446,0.10920422361195348,0.46734189542978805,0.10920422361195349,0.46734189542978805,16,17,20,22,16,16,16,16
TZ,0.05486584943013944,0.23423440854099972,0.0516063691768347,0.22031896865965706,0.4999991681019393,0.4702951275735554,0.1097318814317576,0.46846959651989717,0.1097318814317576,0.46846959651989717,17,19,19,21,17,17,17,17
MG,0.0554736903289899,0.23552773002507849,0.05450281081899647,0.23140561293208398,0.4999965865059508,0.49124583569008884,0.11094813809959814,0.4710586759621314,0.11094813809959812,0.47105867596213136,18,20,27,29,18,18,18,18
SA,0.05563386188454318,0.23332373442560786,0.030507160576421045,0.12794446388036657,0.4892700524663443,0.2682941566559069,0.11370788300673706,0.47688129132256185,0.11370788300673705,0.4768812913225618,19,16,4,2,21,21,21,21
MR,0.05592097438492656,0.2364750270936855,0.04915498324899345,0.20786343806499552,0.4999952080058228,0.4394997824059373,0.11184302067206076,0.47295458697862475,0.11184302067206076,0.47295458697862475,20,21,14,12,19,19,19,19
KE,0.05624618882978276,0.23715794926254746,0.05440669773173158,0.2294018693293675,0.49997959033835465,0.4836281179138322,0.11249696970974132,0.4743352605694443,0.11249696970974131,0.47433526056944425,21,22,26,28,20,20,20,20
KW,0.05689368120186501,0.23382279327207126,0.048552387349946984,0.19954157632921868,0.48048480515408754,0.41003998832194266,0.11840890823513071,0.48663930838996294,0.11840890823513073,0.486639308389963,22,18,13,9,24,24,24,24
DZ,0.05693396409913336,0.23859585011134968,0.053171756820350136,0.22282939052646278,0.49994744429910687,0.46691082119174454,0.11387989827400957,0.4772418637839928,0.11387989827400956,0.4772418637839928,23,23,24,23,22,22,22,22
MK,0.05890619441255383,0.24270591411226777,0.05783451065841502,0.23829035157624873,0.49999971422799705,0.4909031909140075,0.11781245616011081,0.4854121056589149,0.11781245616011082,0.48541210565891496,24,24,30,31,23,23,23,23
IN,0.05962687129380967,0.24399407842520643,0.041220076895979015,0.1686731914088319,0.49921376901714426,0.3451066524188821,0.1194415598976837,0.4887567081845194,0.1194415598976837,0.48875670818451933,25,25,7,4,25,25,25,25
ID,0.06011737897077819,0.24518217306392281,0.059241681518282324,0.24161073651719905,0.4999743752764714,0.4926915180688137,0.12024092022223141,0.49038947831745205,0.12024092022223143,0.49038947831745205,26,26,32,33,26,26,26,26
GT,0.0603206863159072,0.24557316596398926,0.05989547857760383,0.24384209132169013,0.4998797553939106,0.49635604316189913,0.12067039255945433,0.4912644757347194,0.12067039255945433,0.4912644757347194,27,27,33,34,27,27,27,27
MA,0.06098447544990834,0.24694180071792468,0.05617178405101607,0.22745397743873122,0.49996538046719297,0.4605097801924187,0.12197739650077644,0.49391779984280065,0.12197739650077645,0.4939177998428007,28,28,29,25,28,28,28,28
PE,0.06178940957832591,0.2485687941292653,0.06174824409604657,0.24840319205668104,0.4999760139846855,0.4996429188170145,0.12358474776795703,0.4971614381022668,0.12358474776795703,0.49716143810226676,29,30,35,36,29,29,29,29
LK,0.0618581445717528,0.2485294098612473,0.05426863389295152,0.21803679448785557,0.49926220705127133,0.43800663790722333,0.12389911292724852,0.497793356579311,0.12389911292724853,0.49779335657931095,30,29,25,19,30,30,30,30
AZ,0.06228165354479298,0.2495617246507282,0.05280721898377427,0.21159779635781967,0.49999519012331073,0.4239347222322256,0.12456450536940733,0.4991282507921333,0.12456450536940733,0.4991282507921333,31,31,23,15,31,31,31,31
MM,0.06257738319520564,0.24999162846472434,0.059122740959878455,0.23619060972479994,0.49934825580268793,0.4717812741465247,0.1253181171016895,0.5006358299236873,0.1253181171016895,0.500635829923687,32,32,31,30,32,32,32,32
AO,0.06284686253203006,0.2506784955816965,0.06023400911042927,0.24025655662541906,0.4999430808107264,0.47915798611111104,0.1257080354629876,0.5014140713282538,0.1257080354629876,0.5014140713282538,33,33,34,32,33,33,33,33
TN,0.06379953375156067,0.25257549890647624,0.06271935939541999,0.2482992046945058,0.4999596305536861,0.49149493590352417,0.12760937054238786,0.5051917864383542,0.12760937054238786,0.5051917864383543,34,34,36,35,34,34,34,34
BD,0.06544928088023594,0.255809432480526,0.05040651796613662,0.19701458260224602,0.49991737774593026,0.38501712996733073,0.13092019560379994,0.5117034211411918,0.13092019560379997,0.5117034211411918,35,35,16,8,35,35,35,35
LV,0.06640324627695174,0.2568340374723328,0.06575796991627827,0.25433824182544523,0.4966904970972432,0.49186388613591675,0.13369139668470675,0.5170907012985377,0.13369139668470675,0.5170907012985376,36,36,39,41,37,37,37,37
MD,0.06649189927154713,0.2576538549981184,0.06532688324690317,0.2531394574072446,0.49919997565627333,0.49045340686348976,0.1331969201002735,0.5161335488035506,0.13319692010027348,0.5161335488035504,37,37,37,40,36,36,36,36
UG,0.06864078226839879,0.26195913230505397,0.06535861237371944,0.2494331331938258,0.499867460205284,0.47596549004998545,0.13731796472650892,0.5240571814726116,0.13731796472650892,0.5240571814726117,38,38,38,37,38,38,38,38
GN,0.07055983937937596,0.2654341630944771,0.06724748238435452,0.2529736371837472,0.49925917885705234,0.4758219850090858,0.1413290778967904,0.5316560502745931,0.1413290778967904,0.5316560502745932,39,39,40,39,39,39,39,39
BY,0.07146919050926553,0.2666972609853737,0.07045336618156732,0.2629065707045835,0.49760902922133515,0.49053628425300105,0.1436251882750227,0.5359574391218442,0.14362518827502269,0.5359574391218442,40,40,42,42,40,40,40,40
GH,0.07381269889332248,0.2716607937462827,0.06854873319178426,0.25228725610068325,0.4999111803615185,0.4642599259474007,0.14765162651482147,0.5434181198944721,0.14765162651482142,0.543418119894472,41,41,41,38,41,41,41,41
PK,0.08163366283835376,0.2855937918389013,0.05536264142769826,0.1936851311310417,0.49957218077075405,0.33880184411215947,0.16340714311274707,0.5716767322757628,0.16340714311274707,0.5716767322757628,42,42,28,7,42,42,42,42
UA,0.08237104626949504,0.2862167012818402,0.08009323808435974,0.27830194513355466,0.4972621072739491,0.4835113083050923,0.16564915175431938,0.5755851835381439,0.16564915175431938,0.5755851835381439,43,43,43,43,43,43,43,43
DJ,0.08906723564157673,0.2980108120416423,0.08382872703501132,0.28048324208301034,0.49855843989089854,0.46923561809867087,0.1786495393821187,0.5977449947630155,0.17864953938211872,0.5977449947630155,44,44,44,44,44,44,44,44
KM,0.15054294639763174,0.38798365325392775,0.14092248824304807,0.36318952911786234,0.4999613691453301,0.4680113007703785,0.30110915700343144,0.7760272637007433,0.30110915700343144,0.7760272637007432,45,45,45,45,45,45,45,45
