country_code_1,cohesion_gender,cohesion_gender_sqrt,cohesion_gender_users,cohesion_gender_users_sqrt,pop_share_prod,users_share_prod,cohesion_gender_norm,cohesion_gender_sqrt_norm,cohesion_gender_users_norm,cohesion_gender_users_sqrt_norm,cohesion_gender_rank,cohesion_gender_sqrt_rank,cohesion_gender_users_rank,cohesion_gender_users_sqrt_rank,cohesion_gender_norm_rank,cohesion_gender_sqrt_norm_rank,cohesion_gender_users_norm_rank,cohesion_gender_users_sqrt_norm_rank
PG,0.015948426079824378,0.08927968054069182,0.015244152723284247,0.08533714100917235,0.24989492121518994,0.23885970469503467,0.06382052905385317,0.35726888768504084,0.06382052905385316,0.3572688876850408,1,1,3,5,1,1,1,1
IQ,0.018630292102939896,0.09650852630409074,0.014593916416712925,0.07559931742346578,0.2499664416941059,0.19580956309811512,0.07453117297136447,0.3860859307754284,0.07453117297136448,0.3860859307754285,2,2,2,3,2,2,2,2
AF,0.019537679514433845,0.09879932962216638,0.010476040327310294,0.05297587979516154,0.2498072385356236,0.13394583031315777,0.07821102234252386,0.39550226887471546,0.07821102234252388,0.39550226887471546,3,3,1,1,3,3,3,3
NP,0.020159033635347556,0.09997751570641784,0.019331063249426274,0.0958712463405219,0.24791624012424288,0.23773384206266618,0.08131388901850434,0.4032713454201881,0.08131388901850432,0.4032713454201881,4,4,5,6,5,5,5,5
VN,0.02017071732641633,0.10042562799131892,0.020141720055994662,0.10028125686931048,0.24999871333883308,0.24963931708244608,0.08068328455386153,0.4017045793960072,0.08068328455386153,0.40170457939600723,5,5,6,10,4,4,4,4
JO,0.02364395213655926,0.10872077593426124,0.023038716562441646,0.10593775214614674,0.24996259194483278,0.24356407396569457,0.09458996225234184,0.4349481859999921,0.09458996225234184,0.4349481859999921,6,6,9,16,6,6,6,6
EG,0.023841246356724077,0.10917539211472171,0.02217553968848358,0.101547679371341,0.24997154228142068,0.23250688214501422,0.09537584214239613,0.43675128423943105,0.09537584214239614,0.43675128423943105,7,7,8,11,7,7,7,7
KH,0.0241266305122439,0.10980108891071208,0.023405281897115472,0.10651820764036063,0.249854183323687,0.24238393301114872,0.09656284394081072,0.439460678424841,0.09656284394081072,0.439460678424841,8,8,11,17,8,8,8,8
MZ,0.02441939878945216,0.11044696629156536,0.02309232938659042,0.10444473868276162,0.24977134916768043,0.2361975540857516,0.09776701319356906,0.44219229571210095,0.09776701319356906,0.4421922957121009,9,9,10,14,9,9,9,9
AL,0.02572617399179035,0.11339492091051832,0.023665575753399986,0.10431228878864919,0.2499090632832934,0.22989201077779167,0.10294214084835938,0.4537447318666288,0.1029421408483594,0.45374473186662867,10,10,12,13,10,10,10,10
KR,0.025889493793167625,0.11377478375283757,0.02535793156225708,0.11143876365309413,0.24999912167887053,0.24486614797505998,0.10355833900257962,0.4551007339097128,0.1035583390025796,0.4551007339097128,11,11,18,24,11,11,11,11
SO,0.0260981522253832,0.11423217642929197,0.02483718392918182,0.10871289093967318,0.24999835273934395,0.237919336792756,0.10439329675341479,0.45693171645972397,0.10439329675341481,0.456931716459724,12,12,15,18,12,12,12,12
BR,0.02636787361271711,0.11480623318556363,0.026171337472377116,0.1139505110181765,0.24993428313273477,0.24807136767481708,0.1054992267655962,0.459345679778522,0.1054992267655962,0.4593456797785219,13,13,21,26,13,13,13,13
LY,0.02649182200031545,0.1150842808851815,0.025240740661952817,0.10964940380679028,0.249971325239571,0.2381663818072438,0.10597944374190059,0.46038992982449256,0.10597944374190062,0.46038992982449256,14,14,17,20,14,14,14,14
VE,0.02670101115423694,0.11553851647915774,0.026348258405518715,0.11401211251507483,0.24997459296754662,0.24667212534676403,0.10681490001547254,0.46220103854377603,0.10681490001547256,0.46220103854377603,15,15,22,27,15,15,15,15
SL,0.02730084976316742,0.11683459167751423,0.025805615538904356,0.11043570367331343,0.24999811234571218,0.23630602082390223,0.10920422361195348,0.46734189542978805,0.10920422361195349,0.46734189542978805,16,17,20,22,16,16,16,16
TZ,0.02743292471506972,0.11711720427049986,0.025803184588417353,0.11015948432982853,0.24999958405096964,0.2351475637867777,0.1097318814317576,0.46846959651989717,0.10973188143175762,0.46846959651989717,17,19,19,21,17,17,17,17
MG,0.02773684516449495,0.11776386501253924,0.027251405409498233,0.11570280646604199,0.2499982932529754,0.24562291784504442,0.11094813809959814,0.4710586759621314,0.11094813809959812,0.47105867596213136,18,20,27,29,18,18,18,18
SA,0.027816930942271594,0.11666186721280393,0.015253580288210522,0.06397223194018328,0.24463502623317215,0.13414707832795345,0.11370788300673708,0.47688129132256185,0.11370788300673705,0.4768812913225618,19,16,4,2,21,21,21,21
MR,0.02796048719246328,0.11823751354684275,0.024577491624496725,0.10393171903249776,0.2499976040029114,0.21974989120296864,0.11184302067206076,0.47295458697862475,0.11184302067206076,0.47295458697862475,20,21,14,12,19,19,19,19
KE,0.028123094414891383,0.11857897463127375,0.02720334886586579,0.11470093466468377,0.24998979516917733,0.2418140589569161,0.11249696970974134,0.47433526056944436,0.11249696970974131,0.4743352605694443,21,22,26,28,20,20,20,20
KW,0.02844684060093251,0.11691139663603563,0.024276193674973492,0.09977078816460934,0.24024240257704377,0.20501999416097133,0.11840890823513073,0.48663930838996294,0.11840890823513073,0.486639308389963,22,18,13,9,24,24,24,24
DZ,0.02846698204956668,0.11929792505567484,0.02658587841017507,0.11141469526323139,0.24997372214955343,0.23345541059587227,0.11387989827400957,0.4772418637839928,0.11387989827400957,0.4772418637839928,23,23,24,23,22,22,22,22
MK,0.02945309720627692,0.1213529570561339,0.02891725532920751,0.11914517578812438,0.24999985711399852,0.24545159545700376,0.11781245616011082,0.48541210565891496,0.11781245616011082,0.485412105658915,24,24,30,31,23,23,23,23
IN,0.02981343564690483,0.12199703921260323,0.020610038447989507,0.08433659570441596,0.24960688450857213,0.17255332620944105,0.11944155989768368,0.48875670818451944,0.1194415598976837,0.48875670818451933,25,25,7,4,25,25,25,25
ID,0.030058689485389097,0.12259108653196141,0.029620840759141162,0.12080536825859953,0.2499871876382357,0.24634575903440686,0.12024092022223141,0.49038947831745205,0.12024092022223143,0.49038947831745205,26,26,32,33,26,26,26,26
GT,0.0301603431579536,0.12278658298199463,0.02994773928880191,0.12192104566084506,0.2499398776969553,0.24817802158094956,0.12067039255945433,0.4912644757347194,0.12067039255945432,0.4912644757347194,27,27,33,34,27,27,27,27
MA,0.03049223772495417,0.12347090035896234,0.02808589202550803,0.11372698871936561,0.24998269023359648,0.23025489009620936,0.12197739650077644,0.49391779984280065,0.12197739650077644,0.4939177998428007,28,28,29,25,28,28,28,28
PE,0.030894704789162956,0.12428439706463265,0.030874122048023284,0.12420159602834054,0.24998800699234275,0.24982145940850725,0.12358474776795703,0.4971614381022668,0.12358474776795703,0.4971614381022668,29,30,35,36,29,29,29,29
LK,0.0309290722858764,0.12426470493062365,0.02713431694647576,0.10901839724392778,0.24963110352563567,0.21900331895361166,0.12389911292724852,0.497793356579311,0.12389911292724853,0.49779335657931095,30,29,25,19,30,30,30,30
AZ,0.03114082677239649,0.1247808623253641,0.026403609491887137,0.10579889817890983,0.24999759506165536,0.2119673611161128,0.12456450536940733,0.4991282507921333,0.12456450536940733,0.4991282507921333,31,31,23,15,31,31,31,31
MM,0.03128869159760282,0.12499581423236215,0.029561370479939227,0.11809530486239998,0.24967412790134397,0.23589063707326235,0.1253181171016895,0.5006358299236872,0.1253181171016895,0.5006358299236872,32,32,31,30,32,32,32,32
AO,0.03142343126601503,0.12533924779084823,0.030117004555214634,0.12012827831270954,0.2499715404053632,0.23957899305555552,0.1257080354629876,0.5014140713282537,0.1257080354629876,0.5014140713282538,33,33,34,32,33,33,33,33
TN,0.03189976687578033,0.12628774945323815,0.031359679697709995,0.1241496023472529,0.24997981527684304,0.24574746795176208,0.12760937054238786,0.5051917864383543,0.12760937054238786,0.5051917864383543,34,34,36,35,34,34,34,34
BD,0.03272464044011797,0.12790471624026303,0.02520325898306831,0.09850729130112301,0.24995868887296513,0.19250856498366536,0.13092019560379994,0.5117034211411919,0.13092019560379997,0.5117034211411918,35,35,16,8,35,35,35,35
LV,0.03320162313847587,0.1284170187361664,0.03287898495813914,0.12716912091272262,0.2483452485486216,0.24593194306795838,0.13369139668470675,0.5170907012985377,0.13369139668470675,0.5170907012985376,36,36,39,41,37,37,37,37
MD,0.03324594963577356,0.1288269274990592,0.03266344162345159,0.1265697287036223,0.24959998782813667,0.24522670343174488,0.1331969201002735,0.5161335488035506,0.1331969201002735,0.5161335488035504,37,37,37,40,36,36,36,36
UG,0.03432039113419939,0.130979566152527,0.03267930618685972,0.1247165665969129,0.249933730102642,0.23798274502499273,0.13731796472650892,0.5240571814726117,0.13731796472650892,0.5240571814726117,38,38,38,37,38,38,38,38
GN,0.03527991968968798,0.13271708154723857,0.03362374119217726,0.12648681859187363,0.24962958942852617,0.2379109925045429,0.1413290778967904,0.5316560502745932,0.1413290778967904,0.5316560502745933,39,39,40,39,39,39,39,39
BY,0.03573459525463277,0.13334863049268686,0.03522668309078366,0.13145328535229175,0.24880451461066758,0.24526814212650053,0.1436251882750227,0.5359574391218442,0.14362518827502269,0.5359574391218442,40,40,42,42,40,40,40,40
GH,0.03690634944666124,0.13583039687314138,0.03427436659589213,0.12614362805034163,0.24995559018075925,0.23212996297370034,0.14765162651482147,0.5434181198944722,0.14765162651482142,0.543418119894472,41,41,41,38,41,41,41,41
PK,0.04081683141917688,0.14279689591945066,0.02768132071384913,0.09684256556552084,0.24978609038537702,0.16940092205607973,0.16340714311274707,0.5716767322757628,0.16340714311274707,0.5716767322757628,42,42,28,7,42,42,42,42
