country_code_1,cohesion,cohesion_sqrt,cohesion_users,cohesion_users_sqrt,pop_share_prod,users_share_prod,cohesion_norm,cohesion_sqrt_norm,cohesion_users_norm,cohesion_users_sqrt_norm,cohesion_rank,cohesion_sqrt_rank,cohesion_users_rank,cohesion_users_sqrt_rank,cohesion_norm_rank,cohesion_sqrt_norm_rank,cohesion_users_norm_rank,cohesion_users_sqrt_norm_rank
IE,0.012981866290193218,0.07703555526597004,0.04738987571318128,0.27972360617485503,0.2339048523840116,0.844520981508249,0.05550062838747925,0.3293456911252849,0.05611450366638215,0.331221618289803,1,1,3,4,3,3,3,3
GB,0.0133996122371437,0.08601936983722455,0.012803745307523451,0.08256757168829015,0.28139940430275384,0.27118509658276113,0.047617770443917636,0.30568426415244815,0.04721404483087426,0.3044694296579529,2,2,1,1,1,1,1,1
FR,0.040152235774730156,0.21405509241398782,0.05939537197868339,0.31905026613058707,0.5806364086007759,0.8710824158054464,0.0691521151274159,0.36865599408383665,0.06818570883877095,0.36626874833143913,3,3,4,6,4,4,4,4
PT,0.049352423761890946,0.2939488168142777,0.046136913916005474,0.27561528494913645,0.8993106354887607,0.8466842686330182,0.05487806083274964,0.326860158452948,0.05449128515224934,0.3255230965778077,4,5,2,3,2,2,2,2
DE,0.057747533650116485,0.29209612949040326,0.06395526646720119,0.3275180230119829,0.7488773702028086,0.8494465688674181,0.07711213604235027,0.39004534135047864,0.07529051127073697,0.3855663616943775,5,4,6,7,7,7,6,7
NL,0.06683464224537962,0.3377796480494106,0.0654730081318782,0.33255034812778195,0.872954331467665,0.8638093075326388,0.0765614418030472,0.386938509694447,0.07579567337482564,0.38498120502738,6,7,7,8,6,6,7,6
IT,0.06883250769608781,0.3507332930922722,0.06364840968683859,0.33385504599516286,0.9177308432797701,0.8976979674493091,0.07500293599166334,0.38217446396247057,0.07090180884299782,0.3719013054510618,7,8,5,9,5,5,5,5
BE,0.08429077206918026,0.3111312967330194,0.08432787305781318,0.3118785204242923,0.5916239140514375,0.5944129384583071,0.14247357158360532,0.5258937127851947,0.14186749244814437,0.5246832635123871,8,6,9,5,11,10,13,13
TH,0.12448517434729249,0.4888171048530141,0.12325011861226184,0.4809212577139206,0.9630930361140084,0.941210659747545,0.12925560634264233,0.507549205033551,0.1309484941929158,0.5109602751874007,9,14,13,15,8,8,8,8
SV,0.1247312512940372,0.4650207082329472,0.10601811205943075,0.4014924460159028,0.873980663857443,0.7656381216963996,0.1427162595834985,0.5320720783232314,0.13847026298080595,0.5243893095687673,10,11,10,10,12,11,12,12
KE,0.12759610071041178,0.4591699322071666,0.0685225447084342,0.26088953526948383,0.8505392720551418,0.5020615331535325,0.1500178826570862,0.5398574143410017,0.13648236358207455,0.5196365744867825,11,9,8,2,14,14,10,10
ES,0.1291095847128005,0.47777937077796123,0.1242411876984661,0.4624428512768106,0.8950792002637121,0.8710575948435897,0.1442437548261223,0.5337844635839999,0.14263257496856485,0.5308981335038455,12,12,14,13,13,13,14,15
US,0.1295761633264956,0.4937420980691515,0.13104281820501226,0.49702205104862146,0.9512893363249345,0.9534371139259105,0.13621109622344796,0.519024106773444,0.13744253951414284,0.5212950532228222,13,15,16,16,9,9,11,11
BR,0.12992560051882837,0.4856720873766315,0.12819456468633672,0.4786114640248745,0.912558739926281,0.8979214674229161,0.14237505470532683,0.5322091237829418,0.14276812542889988,0.5330215184614259,14,13,15,14,10,12,15,16
MU,0.1314131064871196,0.46498619384407414,0.11404186690049657,0.421377147122341,0.8396567734519381,0.7951575020394401,0.15650812408368153,0.5537812693780286,0.14342047532469868,0.5299291599985942,15,10,11,11,15,15,16,14
NG,0.15225681135713415,0.5358030353781773,0.11883550728845553,0.45407717754339527,0.9666704204634107,0.887082512991919,0.1575064345965443,0.5542768497264243,0.13396218000922094,0.5118770473920183,16,16,12,12,16,16,9,9
MX,0.1567951024331098,0.5415421514315318,0.16104121107628927,0.5495793172622901,0.9417397617120636,0.9436901411615518,0.16649514951780256,0.5750443736675398,0.17065051763502567,0.5823726383173127,17,17,17,17,17,17,17,17
IN,0.18755433026705964,0.5826147966988553,0.19505236266531084,0.5978003820484359,0.9272416153619817,0.936990025629416,0.20227126043500662,0.6283311566763652,0.20816909180467089,0.6380007958429098,18,18,18,18,18,18,18,18
