country_code_1,cohesion_gender,cohesion_gender_sqrt,cohesion_gender_users,cohesion_gender_users_sqrt,pop_share_prod,users_share_prod,cohesion_gender_norm,cohesion_gender_sqrt_norm,cohesion_gender_users_norm,cohesion_gender_users_sqrt_norm,cohesion_gender_rank,cohesion_gender_sqrt_rank,cohesion_gender_users_rank,cohesion_gender_users_sqrt_rank,cohesion_gender_norm_rank,cohesion_gender_sqrt_norm_rank,cohesion_gender_users_norm_rank,cohesion_gender_users_sqrt_norm_rank
MX,0.051778599363817616,0.22754713005777993,0.05177161033207997,0.22751641593778976,0.4999912805068456,0.49992379210486204,0.10355900469170021,0.4551021966365361,0.10355900469170021,0.45510219663653617,1,1,2,3,1,1,1,1
NG,0.057070816070631344,0.23887330050034616,0.053351832166204254,0.22330727182014093,0.49990921473166033,0.46733294455951263,0.11416236066235673,0.47783336146057603,0.11416236066235676,0.47783336146057603,2,2,3,2,2,2,2,2
IT,0.059038748951731196,0.24290114822034115,0.059022305846904544,0.24283349690466094,0.49968003094881003,0.4995408631772268,0.11815310857955709,0.486113378913926,0.11815310857955708,0.48611337891392603,3,3,4,5,3,3,3,3
US,0.059621976447347624,0.2441636914019656,0.05913525155042218,0.24217045745348173,0.49994911064111813,0.4958677685950413,0.11925609062668475,0.48837708919785494,0.11925609062668474,0.4883770891978549,4,4,5,4,4,4,4,4
IN,0.061343290211570346,0.24751170077535667,0.042923229932558885,0.1731893024768907,0.4993377581265984,0.34939745377455816,0.12284929231411701,0.49567992155042356,0.12284929231411702,0.4956799215504235,5,5,1,1,5,5,5,5
TH,0.06329826749938465,0.2515144867956057,0.06333702164328414,0.25166847566448236,0.4996940640490032,0.5,0.12667404328656828,0.5033369513289647,0.12667404328656828,0.5033369513289647,6,6,6,6,6,6,6,6
SV,0.06487950554550664,0.25424370277491276,0.0651200391482275,0.25518628322899234,0.4981531521950305,0.5,0.130240078296455,0.5103725664579847,0.130240078296455,0.5103725664579847,7,7,7,7,7,7,7,7
MU,0.06727949040019446,0.25936795832444093,0.06686786355948747,0.257781103063935,0.4999423851551239,0.4968836565096953,0.134574487776864,0.5187956973161284,0.13457448777686398,0.5187956973161284,8,8,8,8,8,8,8,8
BR,0.06973004509656276,0.26402587369977143,0.06932471130541426,0.26249111765308,0.49985384267565824,0.4969482421875,0.1395008683404455,0.5282061497946525,0.1395008683404455,0.5282061497946527,9,9,10,10,9,9,9,9
BE,0.07066985489018326,0.26581276232605744,0.07068328771776539,0.26586328764567213,0.49990497875795087,0.5,0.14136657543553077,0.5317265752913443,0.14136657543553077,0.5317265752913443,10,10,11,11,10,10,10,10
KE,0.07091972928064702,0.26630278328932155,0.06900178211924303,0.2591009133376957,0.4999819733307389,0.4864605031244993,0.14184457253168506,0.5326247694797624,0.14184457253168503,0.5326247694797624,11,11,9,9,11,11,11,11
FR,0.07364165845781244,0.2713323319010259,0.0736019559299337,0.27118604813043595,0.49986132765481056,0.4995918367346938,0.14732417649373986,0.5428152107186015,0.14732417649373986,0.5428152107186014,12,12,12,13,12,12,12,12
ES,0.07367759194033657,0.2713855877266684,0.0736039525588369,0.27111434288408043,0.4998136834153757,0.49931412894375854,0.14741011377854973,0.5429735053914688,0.14741011377854973,0.5429735053914688,13,13,13,12,13,13,13,13
DE,0.07494741060651068,0.2737338033919512,0.07490343443255282,0.2735731872311165,0.49988514955388047,0.4995918367346938,0.14992926009783858,0.5475933894740488,0.14992926009783858,0.5475933894740487,14,14,14,14,14,14,14,14
NL,0.07759661255659418,0.2785583472186384,0.07748797256995149,0.2781683485560167,0.49998801654251773,0.49928800284798863,0.15519694470516487,0.5571300471257405,0.15519694470516487,0.5571300471257403,15,15,15,15,15,15,15,15
PT,0.08051705483561643,0.2833490401803611,0.08066923658780648,0.28388458576761644,0.49856939461487454,0.49951171875,0.16149618429308665,0.5683241756129801,0.16149618429308668,0.5683241756129799,16,16,16,16,16,16,16,16
GB,0.08214108322393518,0.2865777807679277,0.08196905119542897,0.2859775871131167,0.4999132054661012,0.4988662131519274,0.16431068898720083,0.5732550723494748,0.1643106889872008,0.5732550723494749,17,17,17,17,17,17,17,17
IE,0.09123641890429462,0.30204378666228043,0.09083686740844647,0.30072104681538714,0.49996728366217585,0.49777777777777776,0.18248477827589693,0.6041271029773403,0.18248477827589693,0.6041271029773403,18,18,18,18,18,18,18,18
