,id
0,0
1,0.1
2,0.1.2
3,0.1.2.3
4,0.1.2.3.4
5,0.1.2.3.4.5
6,0.1.2.3.4.5.6
7,0.1.2.3.4.5.6.7
8,0.1.2.3.4.5.6.7.8
9,0.1.2.3.4.5.6.7.8.9
10,0.1.2.3.4.5.6.7.8.9.10
11,0.1.2.3.4.5.6.7.8.9.10.11
12,0.1.2.3.4.5.6.7.8.9.10.11.12
13,0.1.2.3.4.5.6.7.8.9.10.11.12.13
14,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14
15,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15
16,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16
17,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17
18,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18
19,0.1.2.3.19
20,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.20
21,0.1.2.3.19.21
22,0.1.2.3.19.22
23,0.1.2.3.19.21.23
24,0.1.2.3.19.22.24
25,0.1.2.3.19.21.23.25
26,0.1.2.3.19.21.26
27,0.1.2.3.19.22.24.27
28,0.1.2.3.19.21.26.28
29,0.1.2.3.19.21.26.28.29
30,0.1.2.3.19.22.24.27.30
31,0.1.2.3.19.21.26.28.29.31
32,0.1.2.3.19.22.24.27.30.32
33,0.1.2.3.19.22.24.27.33
34,0.1.2.3.19.22.24.34
35,0.1.2.3.19.22.24.27.30.35
36,0.1.2.3.19.22.36
37,0.1.2.3.19.22.24.27.30.32.37
38,0.1.2.3.19.22.24.27.30.35.38
39,0.1.2.3.19.22.24.27.33.39
40,0.1.2.3.19.22.24.34.40
41,0.1.2.3.19.22.24.27.33.39.41
42,0.1.2.3.19.22.24.27.33.39.42
43,0.1.2.3.19.22.24.27.30.35.43
44,0.1.2.3.19.22.24.34.40.44
45,0.1.2.3.19.22.24.27.30.35.38.45
46,0.1.2.3.19.22.24.34.46
47,0.1.2.3.19.22.36.47
48,0.1.2.3.19.22.24.34.40.48
49,0.1.2.3.19.22.24.34.46.49
50,0.1.2.3.19.22.24.27.30.35.38.50
51,0.1.2.3.19.22.24.27.33.39.42.51
52,0.1.2.3.19.22.24.27.30.35.43.52
53,0.1.2.3.19.22.36.47.53
