,id,culture,continent
0,0,,
1,0.1,,
2,0.1.2,,
3,0.1.2.3,,
4,0.4,,
5,0.1.2.5,,
6,0.4.6,,
7,0.1.2.5.7,,
8,0.1.2.3.8,,
9,0.1.9,,
10,0.1.2.5.10,,
11,0.4.11,,
12,0.1.2.3.12,,
13,0.1.9.13,,
14,0.1.2.5.10.14,,
15,0.1.2.5.7.15,,
16,0.1.2.5.7.16,,
17,0.1.2.5.10.17,,
18,0.4.6.18,,
19,0.4.11.19,,
20,0.4.11.20,,
21,0.1.2.3.8.21,,
22,0.1.2.5.10.14.22,,
23,0.1.9.13.23,,
24,0.1.2.5.10.14.22.24,,
25,0.4.6.18.25,,
26,0.1.2.5.7.16.26,,
27,0.1.2.5.7.16.27,,
28,0.1.2.5.10.17.28,,
29,0.1.2.3.12.29,,
30,0.4.11.19.30,,
31,0.4.6.18.31,,
32,0.4.6.32,,
33,0.1.9.13.23.33,,
34,0.1.2.5.7.16.27.34,,
35,0.4.11.20.35,,
36,0.1.2.5.10.14.22.24.36,,
37,0.1.2.5.7.16.27.37,,
38,0.1.2.5.10.14.22.24.38,,
39,0.1.9.13.23.33.39,,
40,0.1.2.5.7.15.40,,
41,0.1.2.5.10.17.41,,
42,0.4.11.19.42,,
43,0.1.2.5.10.14.22.24.36.43,,
44,0.1.9.13.44,,
45,0.4.11.20.45,,
46,0.4.6.32.46,,
47,0.1.2.5.7.16.26.47,,
48,0.1.2.5.7.16.27.34.48,,
49,0.1.9.13.23.33.39.49,,
50,0.1.2.5.10.14.22.50,,
51,0.1.2.5.7.15.40.51,,
52,0.4.6.32.52,,
53,0.1.9.13.23.33.39.49.53,,
54,0.1.2.3.12.54,,
55,0.4.6.32.46.55,,
56,0.1.2.5.7.16.26.56,,
57,0.1.2.5.7.16.27.34.48.57,,
58,0.4.11.20.45.58,,
59,0.1.2.5.7.16.26.56.59,,
60,0.1.2.5.10.17.28.60,,
61,0.1.9.13.23.33.61,,
62,0.1.2.5.7.15.40.62,,
63,0.1.2.5.7.16.27.34.63,,
64,0.1.2.5.7.16.26.47.64,,
65,0.1.2.5.7.16.27.34.48.57.65,,
66,0.1.2.5.7.15.40.51.66,,
67,0.1.2.5.7.16.27.34.63.67,,
68,0.4.11.20.35.68,,
69,0.1.2.5.7.15.40.51.69,,
