,id,culture,continent
0,0,,
1,0.1,,
2,0.2,,
3,0.1.3,,
4,0.2.4,,
5,0.1.5,,
6,0.1.3.6,,
7,0.1.5.7,,
8,0.1.5.7.8,,
9,0.1.3.6.9,,
10,0.1.5.10,,
11,0.1.5.10.11,,
12,0.2.4.12,,
13,0.1.3.13,,
14,0.1.5.7.8.14,,
15,0.2.4.15,,
16,0.1.3.13.16,,
17,0.1.3.6.9.17,,
18,0.1.3.13.16.18,,
19,0.1.3.6.9.19,,
20,0.2.4.15.20,,
21,0.1.3.6.9.19.21,,
22,0.1.3.13.22,,
23,0.1.3.13.16.18.23,,
24,0.2.4.12.24,,
25,0.1.3.13.16.18.23.25,,
26,0.1.3.13.16.18.23.26,,
27,0.1.3.13.22.27,,
28,0.2.4.15.28,,
29,0.2.4.15.20.29,,
30,0.2.4.15.28.30,,
31,0.1.3.13.22.31,,
32,0.1.3.6.9.19.21.32,,
33,0.2.4.12.24.33,,
34,0.1.3.13.22.31.34,,
35,0.2.4.15.20.35,,
36,0.1.3.13.22.27.36,,
37,0.1.3.6.37,,
38,0.1.3.6.9.17.38,,
39,0.2.4.15.20.29.39,,
40,0.2.4.12.40,,
41,0.2.4.15.20.29.41,,
42,0.1.3.13.22.27.36.42,,
43,0.1.3.6.9.17.38.43,,
44,0.1.3.13.22.31.34.44,,
45,0.2.4.15.20.35.45,,
46,0.1.3.13.16.18.23.26.46,,
47,0.1.3.6.9.19.47,,
48,0.1.3.6.9.19.21.32.48,,
49,0.1.3.13.22.27.36.42.49,,
50,0.2.4.15.28.30.50,,
51,0.1.3.13.16.18.23.26.51,,
52,0.2.4.15.28.52,,
53,0.1.3.6.9.17.38.53,,
54,0.2.4.12.40.54,,
55,0.2.4.12.24.33.55,,
56,0.2.4.15.28.30.56,,
57,0.1.3.6.9.19.21.32.48.57,,
58,0.1.3.6.37.58,,
59,0.2.4.12.24.59,,
60,0.1.3.6.9.17.38.53.60,,
61,0.1.3.6.9.19.21.32.61,,
62,0.2.4.15.20.35.45.62,,
63,0.1.3.13.16.18.23.26.46.63,,
64,0.1.3.6.9.19.21.32.48.64,,
65,0.2.4.12.40.65,,
66,0.1.3.6.9.19.21.66,,
67,0.1.3.13.22.31.67,,
68,0.1.3.6.9.19.21.32.48.57.68,,
