,id
0,0
1,0.1
2,0.1.2
3,0.1.3
4,0.4
5,0.4.5
6,0.1.3.6
7,0.4.7
8,0.1.3.6.8
9,0.1.2.9
10,0.4.5.10
11,0.1.3.6.8.11
12,0.1.3.6.8.12
13,0.1.3.13
14,0.4.5.10.14
15,0.1.2.15
16,0.1.3.6.16
17,0.1.3.13.17
18,0.4.7.18
19,0.1.2.9.19
20,0.1.3.6.8.12.20
21,0.4.7.21
22,0.1.2.9.19.22
23,0.1.3.6.8.11.23
24,0.4.7.21.24
25,0.1.3.6.8.12.20.25
26,0.1.3.6.8.11.26
27,0.1.3.6.8.12.27
28,0.1.2.9.19.22.28
29,0.1.3.13.17.29
30,0.1.3.6.16.30
31,0.1.3.6.16.31
32,0.1.3.6.8.12.27.32
33,0.1.3.13.17.33
34,0.1.2.9.19.34
35,0.1.2.15.35
36,0.1.3.6.8.11.23.36
37,0.4.7.18.37
38,0.1.3.13.17.29.38
39,0.1.3.6.16.31.39
40,0.4.5.10.14.40
41,0.1.3.6.8.12.27.32.41
42,0.1.3.6.8.12.20.25.42
43,0.1.3.13.17.29.38.43
44,0.4.7.18.44
45,0.1.3.6.16.30.45
46,0.4.7.18.37.46
47,0.1.3.6.16.31.39.47
48,0.1.3.6.16.30.48
49,0.1.2.9.19.22.28.Wyoming
50,0.1.3.6.8.12.20.25.Wisconsin
51,0.1.3.13.17.33.West Virginia
52,0.4.5.10.14.40.Washington
53,0.1.3.6.16.30.45.Virginia
54,0.1.2.15.Vermont
55,0.4.5.10.Utah
56,0.1.3.6.8.11.26.Texas
57,0.1.3.13.17.29.38.43.Tennessee
58,0.1.2.9.19.34.South Dakota
59,0.1.3.6.16.31.39.47.South Carolina
60,0.4.7.18.37.46.Rhode Island
61,0.1.3.6.16.30.48.Pennsylvania
62,0.4.5.10.14.40.Oregon
63,0.1.3.6.8.11.23.Oklahoma
64,0.1.3.6.8.12.27.32.41.Ohio
65,0.1.2.9.19.34.North Dakota
66,0.1.3.6.16.31.39.47.North Carolina
67,0.4.7.18.44.New York
68,0.1.3.6.8.11.26.New Mexico
69,0.4.7.18.44.New Jersey
70,0.1.2.15.35.New Hampshire
71,0.4.7.21.24.Nevada
72,0.1.3.6.8.12.20.25.42.Nebraska
73,0.1.2.9.19.22.28.Montana
74,0.1.3.6.8.11.23.36.Missouri
75,0.1.3.13.17.29.38.Mississippi
76,0.1.3.6.8.12.20.Minnesota
77,0.1.3.6.8.12.27.32.Michigan
78,0.4.7.18.37.46.Massachusetts
79,0.1.3.6.16.30.45.Maryland
80,0.1.2.15.35.Maine
81,0.1.3.13.Louisiana
82,0.1.3.13.17.33.Kentucky
83,0.1.3.6.8.11.23.36.Kansas
84,0.1.3.6.8.12.20.25.42.Iowa
85,0.1.3.6.8.12.27.32.41.Indiana
86,0.1.3.6.8.12.27.Illinois
87,0.1.2.9.19.22.Idaho
88,0.4.5.Hawaii
89,0.1.3.6.16.31.39.Georgia
90,0.1.3.6.16.31.Florida
91,0.1.3.6.16.30.48.Delaware
92,0.4.7.18.37.Connecticut
93,0.4.5.10.14.Colorado
94,0.4.7.21.24.California
95,0.1.3.13.17.29.38.43.Arkansas
96,0.4.7.21.Arizona
97,0.1.2.9.Alaska
98,0.1.3.13.17.29.Alabama
