,id
0,0
1,0.1
2,0.1.2
3,0.3
4,0.1.4
5,0.3.5
6,0.1.2.6
7,0.3.7
8,0.1.4.8
9,0.3.5.9
10,0.1.2.6.10
11,0.1.4.8.11
12,0.1.4.12
13,0.1.4.8.13
14,0.3.5.9.14
15,0.1.4.8.13.15
16,0.1.4.12.16
17,0.1.2.17
18,0.3.7.18
19,0.1.2.6.19
20,0.1.2.6.19.20
21,0.3.7.21
22,0.1.4.8.11.22
23,0.1.2.6.10.23
24,0.3.7.21.24
25,0.1.2.6.19.20.25
26,0.1.4.8.11.26
27,0.1.4.12.27
28,0.1.2.6.10.23.28
29,0.1.4.8.13.15.29
30,0.1.4.12.16.30
31,0.1.4.12.16.31
32,0.1.4.12.27.32
33,0.1.4.8.13.15.33
34,0.1.2.6.19.20.34
35,0.1.2.17.35
36,0.1.4.8.11.22.36
37,0.3.7.18.37
38,0.1.4.8.13.15.29.38
39,0.1.4.12.16.31.39
40,0.3.5.9.14.40
41,0.1.4.12.27.32.41
42,0.1.2.6.19.20.25.42
43,0.1.4.8.13.15.29.38.43
44,0.3.7.18.44
45,0.1.4.12.16.30.45
46,0.3.7.18.37.46
47,0.1.4.12.16.31.39.47
48,0.1.4.12.16.30.48
49,0.1.2.6.10.23.28.Wyoming
50,0.1.4.8.13.15.33.West Virginia
51,0.1.2.6.19.20.25.Wisconsin
52,0.3.5.9.14.40.Washington
53,0.1.2.17.Vermont
54,0.1.4.12.16.30.45.Virginia
55,0.3.5.9.Utah
56,0.1.4.8.11.26.Texas
57,0.1.4.8.13.15.29.38.43.Tennessee
58,0.1.2.6.19.20.34.South Dakota
59,0.1.4.12.16.31.39.47.South Carolina
60,0.3.7.18.37.46.Rhode Island
61,0.1.4.12.16.30.48.Pennsylvania
62,0.3.5.9.14.40.Oregon
63,0.1.4.8.11.22.Oklahoma
64,0.1.4.12.27.32.41.Ohio
65,0.3.7.18.44.New York
66,0.3.7.21.24.Nevada
67,0.1.4.8.11.26.New Mexico
68,0.3.7.18.44.New Jersey
69,0.1.2.17.35.New Hampshire
70,0.1.2.6.19.20.25.42.Nebraska
71,0.1.2.6.19.20.34.North Dakota
72,0.1.4.12.16.31.39.47.North Carolina
73,0.1.2.6.10.23.28.Montana
74,0.1.4.8.13.15.29.38.Mississippi
75,0.1.4.8.11.22.36.Missouri
76,0.1.2.6.19.Minnesota
77,0.1.4.12.27.32.Michigan
78,0.1.2.17.35.Maine
79,0.1.4.12.16.30.45.Maryland
80,0.3.7.18.37.46.Massachusetts
81,0.1.4.8.13.Louisiana
82,0.1.4.8.13.15.33.Kentucky
83,0.1.4.8.11.22.36.Kansas
84,0.1.4.12.27.32.41.Indiana
85,0.1.4.12.27.Illinois
86,0.1.2.6.10.23.Idaho
87,0.1.2.6.19.20.25.42.Iowa
88,0.3.5.Hawaii
89,0.1.4.12.16.31.39.Georgia
90,0.1.4.12.16.31.Florida
91,0.1.4.12.16.30.48.Delaware
92,0.3.7.18.37.Connecticut
93,0.3.5.9.14.Colorado
94,0.3.7.21.24.California
95,0.3.7.21.Arizona
96,0.1.4.8.13.15.29.38.43.Arkansas
97,0.1.4.8.13.15.29.Alabama
98,0.1.2.6.10.Alaska
