,id
0,0
1,0.1
2,0.1.2
3,0.3
4,0.1.4
5,0.3.5
6,0.1.2.6
7,0.1.4.7
8,0.1.4.8
9,0.1.2.6.9
10,0.3.10
11,0.1.4.8.11
12,0.3.5.12
13,0.1.4.7.13
14,0.1.4.7.14
15,0.1.2.15
16,0.3.10.16
17,0.1.2.6.17
18,0.1.2.6.17.18
19,0.1.2.6.9.19
20,0.1.4.7.13.20
21,0.3.10.16.21
22,0.1.2.6.17.18.22
23,0.1.4.7.14.23
24,0.1.4.8.11.24
25,0.1.4.8.25
26,0.1.2.6.9.19.26
27,0.1.2.6.9.27
28,0.1.4.8.11.28
29,0.1.4.8.11.24.29
30,0.1.4.7.13.30
31,0.1.2.6.17.18.31
32,0.3.10.16.21.32
33,0.1.2.15.33
34,0.1.4.7.13.20.34
35,0.3.10.35
36,0.1.4.7.14.23.36
37,0.1.2.6.9.19.37
38,0.1.4.8.11.24.29.38
39,0.1.4.7.14.23.39
40,0.1.2.6.17.18.22.40
41,0.3.10.16.21.32.41
42,0.1.4.8.11.28.42
43,0.3.10.16.21.32.41.43
44,0.3.10.35.44
45,0.1.4.7.14.23.39.45
46,0.1.4.7.14.23.36.46
47,0.1.4.8.11.28.47
48,0.1.4.7.14.23.39.45.48
49,0.1.2.6.9.27.Wyoming
50,0.1.4.7.13.30.West Virginia
51,0.1.2.6.17.18.22.Wisconsin
52,0.1.2.6.9.19.37.Washington
53,0.1.2.15.Vermont
54,0.1.4.8.11.28.42.Virginia
55,0.3.5.12.Utah
56,0.1.4.8.25.Texas
57,0.1.4.7.14.23.39.45.48.Tennessee
58,0.1.2.6.17.18.31.South Dakota
59,0.1.4.7.14.23.36.46.South Carolina
60,0.3.10.35.44.Rhode Island
61,0.1.4.8.11.28.47.Pennsylvania
62,0.1.2.6.9.19.37.Oregon
63,0.1.4.7.13.20.Oklahoma
64,0.1.4.8.11.24.29.38.Ohio
65,0.3.10.16.21.32.41.43.New York
66,0.3.10.16.Nevada
67,0.1.4.8.25.New Mexico
68,0.3.10.16.21.New Jersey
69,0.1.2.15.33.New Hampshire
70,0.1.2.6.17.18.22.40.Nebraska
71,0.1.2.6.17.18.31.North Dakota
72,0.1.4.7.14.23.36.46.North Carolina
73,0.1.2.6.9.27.Montana
74,0.1.4.7.14.23.39.Mississippi
75,0.1.4.7.13.20.34.Missouri
76,0.1.2.6.17.Minnesota
77,0.1.4.8.11.24.29.Michigan
78,0.1.2.15.33.Maine
79,0.1.4.8.11.28.42.Maryland
80,0.3.10.35.44.Massachusetts
81,0.1.4.7.14.Louisiana
82,0.1.4.7.13.30.Kentucky
83,0.1.4.7.13.20.34.Kansas
84,0.1.4.8.11.24.29.38.Indiana
85,0.1.4.8.11.24.Illinois
86,0.1.2.6.9.19.26.Idaho
87,0.1.2.6.17.18.22.40.Iowa
88,0.3.5.Hawaii
89,0.1.4.7.14.23.36.Georgia
90,0.3.10.16.21.32.Florida
91,0.1.4.8.11.28.47.Delaware
92,0.3.10.35.Connecticut
93,0.3.5.12.Colorado
94,0.3.10.16.21.32.41.43.California
95,0.3.10.16.21.32.41.Arizona
96,0.1.4.7.14.23.39.45.Arkansas
97,0.1.4.7.14.23.39.45.48.Alabama
98,0.1.2.6.9.19.26.Alaska
