,id
0,0
1,0.1
2,0.1.2
3,0.3
4,0.3.4
5,0.1.5
6,0.3.4.6
7,0.1.2.7
8,0.1.5.8
9,0.3.4.9
10,0.3.4.6.10
11,0.1.5.11
12,0.1.5.8.12
13,0.3.4.6.10.13
14,0.1.5.8.14
15,0.1.2.15
16,0.1.2.7.16
17,0.3.4.9.17
18,0.1.2.7.16.18
19,0.1.2.7.19
20,0.1.5.8.12.20
21,0.3.4.9.17.21
22,0.1.2.7.16.18.22
23,0.1.5.8.14.23
24,0.3.4.6.10.24
25,0.1.5.11.25
26,0.1.2.7.19.26
27,0.1.2.7.19.27
28,0.1.5.11.28
29,0.1.5.11.25.29
30,0.1.5.8.12.30
31,0.1.2.7.16.31
32,0.3.4.9.17.21.32
33,0.1.5.8.12.20.33
34,0.1.2.15.34
35,0.3.4.9.35
36,0.1.5.8.14.23.36
37,0.3.4.6.10.13.37
38,0.1.5.11.25.29.38
39,0.1.5.8.14.23.39
40,0.1.2.7.16.18.22.40
41,0.3.4.9.17.21.32.41
42,0.1.5.11.28.42
43,0.3.4.9.17.21.32.41.43
44,0.3.4.9.35.44
45,0.1.5.8.14.23.39.45
46,0.1.5.8.14.23.36.46
47,0.1.5.11.28.47
48,0.1.5.8.14.23.39.45.48
49,0.1.2.7.19.27.Wyoming
50,0.1.2.7.16.18.22.Wisconsin
51,0.1.5.8.12.30.West Virginia
52,0.3.4.6.10.13.37.Washington
53,0.1.5.11.28.42.Virginia
54,0.1.2.15.Vermont
55,0.3.4.6.Utah
56,0.3.4.6.10.24.Texas
57,0.1.5.8.14.23.39.45.48.Tennessee
58,0.1.2.7.16.31.South Dakota
59,0.1.5.8.14.23.36.46.South Carolina
60,0.3.4.9.35.44.Rhode Island
61,0.1.5.11.28.47.Pennsylvania
62,0.3.4.6.10.13.37.Oregon
63,0.1.5.8.12.20.Oklahoma
64,0.1.5.11.25.29.38.Ohio
65,0.1.2.7.16.31.North Dakota
66,0.1.5.8.14.23.36.46.North Carolina
67,0.3.4.9.17.21.32.41.43.New York
68,0.3.4.6.10.24.New Mexico
69,0.3.4.9.17.21.New Jersey
70,0.1.2.15.34.New Hampshire
71,0.3.4.9.17.Nevada
72,0.1.2.7.16.18.22.40.Nebraska
73,0.1.2.7.19.27.Montana
74,0.1.5.8.12.20.33.Missouri
75,0.1.5.8.14.23.39.Mississippi
76,0.1.2.7.16.18.Minnesota
77,0.1.5.11.25.29.Michigan
78,0.3.4.9.35.44.Massachusetts
79,0.1.5.11.28.42.Maryland
80,0.1.2.15.34.Maine
81,0.1.5.8.14.Louisiana
82,0.1.5.8.12.30.Kentucky
83,0.1.5.8.12.20.33.Kansas
84,0.1.2.7.16.18.22.40.Iowa
85,0.1.5.11.25.29.38.Indiana
86,0.1.5.11.25.Illinois
87,0.1.2.7.19.26.Idaho
88,0.3.Hawaii
89,0.1.5.8.14.23.36.Georgia
90,0.3.4.9.17.21.32.Florida
91,0.1.5.11.28.47.Delaware
92,0.3.4.9.35.Connecticut
93,0.3.4.6.10.13.Colorado
94,0.3.4.9.17.21.32.41.43.California
95,0.1.5.8.14.23.39.45.Arkansas
96,0.3.4.9.17.21.32.41.Arizona
97,0.1.2.7.19.26.Alaska
98,0.1.5.8.14.23.39.45.48.Alabama
